ID,"Needed image or icon, etc",Description,Dimensions,Phase,Priority,Notes,Produced By,Consumed By
COV-011,Notion Page Cover — Quest Board,"Wide banner. Weathered wooden quest board mounted on stone dungeon wall. Board is dark planks with visible iron nail heads and rope hinges. Three parchment quest notices pinned with red wax seals and iron tacks — parchments slightly curled at edges, aged yellow-brown (#D7CCC8) with illegible handwritten text (wavy lines, not actual words). Hanging lantern on left casts warm directional light (#FFB74D) creating strong shadows on right. Stone wall behind is dark grey (#424242) with damp patches and single crack. Cobweb in upper-right corner. Small dagger stabbed into board between two notices. Color palette: dark wood browns (#3E2723, #5D4037), aged parchment, warm lantern orange, cold stone grey. Mood: adventurer's guild, mysterious, inviting danger. Style: painted fantasy illustration.",1500x600 PNG or JPG,Phase 8 — Dashboard & Onboarding,P2,Notion page cover for Quest Board page.,P8,P8
ACH-012,Achievement Badge — First Blood,"Circular badge on transparent background. Clenched iron gauntlet fist punching upward through cracked stone surface. Fist is dark steel grey (#455A64) with specular highlights on knuckles. Cracks radiate outward from impact point in starburst pattern. Behind fist, burst of warm energy — short rays of orange-red (#FF5722) and gold (#FFC107). Circular badge border is thin gunmetal ring (3px) with subtle bevel. Background fill within circle is dark gradient from deep red (#B71C1C) at bottom to near-black (#1A1A1A) at top. Style: bold, impactful, comic-book energy. Clean edges, high contrast.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/first_blood.png — stored in Achievements DB Icon URL field via Cloudinary.,P5,"P5, P8, P9"
ACH-013,Achievement Badge — Streak Bronze (3 days),"Circular badge on transparent background. Stylized flame shape centered — three tongues, tallest in center (~60% badge height). Base color dark bronze (#6D4C1A) transitioning to bright copper (#CD7F32) at tips with white-hot highlight dot at each tip. Behind flame, faint radial glow of warm amber (#FF8F00 at 20% opacity). Number '3' subtly embossed at flame base in lighter bronze. Badge border 3px bronze ring with hammered texture. Background fill deep warm brown (#3E2723) to near-black gradient. Style: warm metallic, understated — first streak milestone.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/streak_bronze.png,P5,"P5, P8, P9"
ACH-014,Achievement Badge — Streak Silver (7 days),"Circular badge on transparent background. Same flame composition as Bronze but elevated. Flame in polished silver (#C0C0C0) with cool blue highlights (#90CAF9) along edges. Four flame tongues instead of three — slightly taller. Faint icy-blue particle trail from each tip (2-3 tiny dots, #E3F2FD). Number '7' embossed at base in bright silver. Badge border 3px polished silver ring with single engraved center line. Background fill deep cool blue-grey (#263238) to black gradient. Style: cool, refined, progressing power.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/streak_silver.png,P5,"P5, P8, P9"
ACH-015,Achievement Badge — Streak Gold (14 days),"Circular badge on transparent background. Five flame tongues, taller and dynamic with curving motion. Rich gold (#FFD700) with bright yellow (#FFEB3B) inner cores and white-hot (#FFFFFF) tips. Visible heat-shimmer glow surrounding flame (soft radial #FFF176 at 25% opacity, 6px). Number '14' at base in dark gold (#FF8F00) with sharp shadow. Two small ember particles floating on each side. Badge border 3px ornate gold ring with tiny notch details. Background fill deep amber (#E65100) to black gradient. Style: warm, powerful, prestigious.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/streak_gold.png,P5,"P5, P8, P9"
ACH-016,Achievement Badge — Streak Platinum (30 days),"Circular badge on transparent background. Flame now abstract and crystalline — five sharp geometric flame shapes like cut gemstone facets. Platinum white (#E0E0E0) with prismatic edge reflections showing faint rainbow colors (thin 1px spectral lines along facet edges). Cool white aura radiates outward (8px glow, #FFFFFF at 15% opacity). Number '30' in crisp platinum at base with subtle drop shadow. Small diamond sparkle points (4 total, 2px each) floating around flame. Badge border 3px platinum ring with inner channel glowing faint blue-white. Background fill deep charcoal (#1A1A2E) to black gradient. Style: premium, crystalline, otherworldly precision.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/streak_platinum.png,P5,"P5, P8, P9"
ACH-017,Achievement Badge — Streak Diamond (60 days),"Circular badge on transparent background. Flame evolved into radiant diamond-shaped crystal hovering above small flame base. Crystal is multi-faceted with high-contrast reflections — bright white (#FFFFFF) faces, pale ice-blue (#E1F5FE) mid-tones, deep sapphire (#1565C0) shadows in facet creases. Small flame beneath crystal is blue-white (#90CAF9). Intense light rays from diamond (6 rays alternating long/short, #BBDEFB at 30% opacity). Number '60' at bottom in icy blue. Badge border 3px diamond-dust textured ring (tiny bright dots on dark silver). Background fill deep navy (#0D1B2A) to black with subtle star-field (3-4 tiny white dots). Style: rare, luminous, awe-inspiring.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/streak_diamond.png,P5,"P5, P8, P9"
ACH-018,Achievement Badge — Streak Mythic (100 days),"Circular badge on transparent background. Transcendent cosmic flame — swirling vortex of energy rather than traditional fire. Colors cycle through deep violet (#7C4DFF) at base, electric magenta (#FF4081) mid-section, brilliant cyan (#00E5FF) at apex. Vortex has visible spiral energy lines rotating clockwise. Double-layer glow: inner violet (#7C4DFF, 6px, 40% opacity), outer cyan (#00E5FF, 10px, 15% opacity). Number '100' at base in glowing white with magenta shadow. Tiny arcane rune-like symbols (3, ~4px each) orbit the vortex. Badge border 3px ring shifting between dark purple and deep blue (gradient along ring). Background fill cosmic black (#0A0A1A) with subtle nebula-like color wisps. Style: ultimate achievement, maximum cosmic energy, mythic transcendence.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/streak_mythic.png,P5,"P5, P8, P9"
ACH-019,Achievement Badge — Budget Master,"Circular badge on transparent background. Tall stack of gold coins (8-10 coins) with top coin tilted slightly toward viewer showing stamped crown emblem on face. Coins rich gold (#FFD700) with dark gold (#B8860B) shadows between each edge. Single green upward arrow (#4CAF50) rises from behind stack indicating surplus/profit. Two small sparkle stars on either side (white, 3px each). Badge border 3px gold ring. Background fill deep green (#1B5E20) to black gradient — prosperity theme. Style: clean iconographic, confident financial achievement.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/budget_master.png,P5,"P5, P8, P9"
ACH-020,Achievement Badge — Rank Squire,"Circular badge on transparent background. Heraldic shield centered in bronze (#CD7F32) with dark outline (#5D4037). Shield has raised central boss (small circle) and large stylized 'S' engraved in center in dark bronze (#6D4C1A) with thin bright highlight on left edge. Two crossed short swords behind shield, blades up, in slightly darker bronze. Badge border 3px hammered bronze ring. Background fill warm dark brown (#3E2723) to black gradient. Style: heraldic, medieval, earned through service.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/rank_squire.png,P5,"P5, P8, P9"
ACH-021,Achievement Badge — Rank Knight,"Circular badge on transparent background. Knight's great helm (bucket helm) viewed from front in polished silver steel (#B0BEC5) with dark visor slit (#263238). Single blue plume from helmet crest (#1565C0) curving right. Helmet has visible rivets (4 small dots) and subtle cross ventilation pattern on right cheek. Horizontal sword blade extends behind helmet on each side. Badge border 3px steel ring with single engraved chevron at top. Background fill dark blue-grey (#1A237E) to black gradient. Style: noble warrior, polished armor, cool-toned.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/rank_knight.png,P5,"P5, P8, P9"
ACH-022,Achievement Badge — Rank Champion,"Circular badge on transparent background. Ornate golden crown with five points, center tallest. Rich gold (#FFD700) with red velvet interior visible between points (#C62828). Center point has ruby (#D32F2F), flanking sapphires (#1565C0), outer emeralds (#2E7D32) — each with white specular dot. Crown sits on small red velvet cushion base. Badge border 3px ornate gold ring with pearl-like dots. Background fill deep royal purple (#4A148C) to black gradient. Style: regal, prestigious, tournament champion.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/rank_champion.png,P5,"P5, P8, P9"
ACH-023,Achievement Badge — Rank Hero,"Circular badge on transparent background. Spread angel wings viewed from front — feathered, symmetrical, golden-white. Wings extend from central shield/crest emblem. Feathers transition from bright gold (#FFD700) at base to pure white (#FFFFFF) at tips. Each wing has 3 distinct feather layers with individual shapes visible. Central crest is small diamond with bright starburst. Warm radiant glow from behind wings (#FFF176 at 20% opacity). Badge border 3px gold ring with laurel pattern. Background fill deep warm gold (#E65100) to black gradient. Style: heroic, angelic, triumphant ascension.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/rank_hero.png,P5,"P5, P8, P9"
ACH-024,Achievement Badge — Rank Legend,"Circular badge on transparent background. Radiant eight-pointed star of overlapping geometric shapes. Platinum-white (#E0E0E0) with each point emitting thin light ray reaching near badge border. Inner core glows bright blue-white (#E3F2FD). Smaller secondary points create 16-pointed starburst effect. Thin orbiting ring at ~60% radius (pale blue #90CAF9, 1px, slightly tilted for 3D). Tiny sparkle dots (6, scattered, 1-2px, white) fill space between star and border. Badge border 3px platinum ring with faint inner glow. Background fill deep space blue (#0D1B2A) to black. Style: cosmic legend, radiant authority.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/rank_legend.png,P5,"P5, P8, P9"
ACH-025,Achievement Badge — Rank Mythic,"Circular badge on transparent background. Cosmic infinity symbol (lemniscate) rendered in flowing energy, horizontal. Swirling energy transitions from deep violet (#7C4DFF) on left loop through magenta (#FF4081) at crossing to electric cyan (#00E5FF) on right loop. Visible energy particles flowing along infinity path (tiny bright dots 1-2px). Crossing point has intense bright white (#FFFFFF) concentration. Dark nebula background within circle — subtle clouds of violet and blue. Three small arcane symbols float around infinity (triangle, circle, diamond, ~5px each, #B388FF at 40% opacity). Badge border 3px color-shifting gradient ring (violet to cyan). Background fill cosmic void (#0A0A1A) with subtle purple nebula wisps. Style: ultimate transcendence, cosmic power, beyond mortal.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/rank_mythic.png,P5,"P5, P8, P9"
ACH-026,Achievement Badge — First Quest,"Circular badge on transparent background. Rolled parchment scroll unfurled diagonally from bottom-left to upper-right. Aged tan (#D7CCC8) with darker burnt edges (#8D6E63) and faint illegible text lines. Large emerald-green checkmark (#4CAF50) stamps across scroll center — bold, confident, slightly angled with subtle green glow (#66BB6A at 20% opacity). Red wax seal hangs from scroll bottom-right on short ribbon with stamped star pattern. Badge border 3px dark bronze ring (#5D4037). Background fill dark forest green (#1B5E20) to black gradient. Style: adventure begins, quest completed, satisfying confirmation.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/first_quest.png,P5,"P5, P8, P9"
ACH-027,Achievement Badge — Clean Eater,"Circular badge on transparent background. Vibrant green apple centered in clean illustrative style. Bright green (#4CAF50) with highlight patch of lighter green (#81C784) on upper-left. Small brown stem (#5D4037) with single green leaf (#2E7D32) at top. Thin golden halo ring (#FFD700, 2px) floats above apple at slight angle suggesting purity. Two small sparkle stars flanking apple (white, 2px). Badge border 3px fresh green ring (#388E3C). Background fill deep green (#1B5E20) to dark (#0D1B0D) gradient. Style: clean, fresh, health-positive, vibrant.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/clean_eater.png,P5,"P5, P8, P9"
ACH-028,Achievement Badge — Iron Will,"Circular badge on transparent background. Medieval tower shield viewed straight on in dark iron (#37474F) with visible hammered texture and three horizontal reinforcement bands. Shield slightly battered — one small dent upper-right and scratch across middle band — but unbroken. Glowing rune symbol (vertical line with dot above, representing willpower) etched in shield center, glowing orange-red (#FF5722, 3px glow). Two crossed iron chains behind shield. Badge border 3px dark iron ring with rust-brown (#5D4037) spots. Background fill deep charcoal (#263238) to black gradient. Style: endurance, unyielding, battle-scarred but standing.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/iron_will.png,P5,"P5, P8, P9"
ACH-029,Achievement Badge — Loot Lord,"Circular badge on transparent background. Ornate treasure chest viewed from front-top angle, lid thrown wide open. Dark wood (#4E342E) with gold metal bands (#FFD700) and corner brackets. Open interior overflows with treasure — visible gold coins, blue gem (#42A5F5), green gem (#66BB6A), small crown peeking out. Bright golden light bursts upward from inside (5-6 short rays, #FFEB3B at 50% opacity). Two small coins in mid-air as if launched from opening. Badge border 3px gold ring with notch details. Background fill deep amber (#E65100) to black gradient. Style: treasure trove, excitement of discovery, abundance.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/loot_lord.png,P5,"P5, P8, P9"
ACH-030,Achievement Badge — Debt Free,"Circular badge on transparent background. Broken iron chain — two segments pulling apart at center with 2-3 links flying off from break point. Chains dark iron (#455A64) with bright specular highlights. At break point, bright burst of green energy (#4CAF50, radial glow 8px, 40% opacity) symbolizing freedom. Single gold coin (#FFD700) with checkmark hovers in burst center. Badge border 3px ring half iron-grey (top) half green (bottom). Background fill deep teal (#004D40) to black gradient. Style: liberation, breaking free, triumphant release.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/debt_free.png,P5,"P5, P8, P9"
ACH-031,Achievement Badge — Death Defier,"Circular badge on transparent background. Human skull from front, bleached bone white (#EFEBE9) with dark eye sockets (#1A1A1A). Two phoenix wings spread from behind skull — fiery, transitioning from dark red (#B71C1C) at base through bright orange (#FF5722) to brilliant yellow (#FFEB3B) at feather tips. Each wing 3-4 feather layers with flame-like shapes. Faint soul-fire wisp from skull crown (small blue-white flame #90CAF9, 10px tall). Skull has hairline crack forehead to jaw. Badge border 3px ring alternating dark red and bone white segments. Background fill deep crimson (#4A0000) to black gradient. Style: death and rebirth, defiant resurrection, dark but triumphant.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/death_defier.png,P5,"P5, P8, P9"
ACH-032,Achievement Badge — PR Breaker,"Circular badge on transparent background. Heavy iron chain pulled taut diagonally snapping at center — links deforming and breaking apart. Bright energy sparks (#FFEB3B, 6-8 small dots 1-2px) fly from break point. Behind breaking chain, large upward-pointing arrow (#F44336, bold, thick, angular not rounded) symbolizing new personal record. Faint shockwave ring from break point (thin circle #FFC107 at 20% opacity). Badge border 3px dark iron ring with red (#F44336) stripe at 12 o'clock. Background fill deep steel blue (#1A237E) to black gradient. Style: raw power, limit-breaking, explosive achievement.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/pr_breaker.png,P5,"P5, P8, P9"
ACH-033,Achievement Badge — Journal Keeper,"Circular badge on transparent background. Open leather-bound journal viewed from above at slight angle. Cover is rich dark brown leather (#4E342E) with lighter worn patch on spine. Open pages show faint lined text (wavy horizontal lines #BDBDBD). White feather quill pen rests diagonally across right page, nib upper-right, small ink drop at tip (#1A237E). Tiny ink bottle at bottom-left of book (dark blue glass #1A237E with cork stopper). Warm reading-light glow from pages (#FFF176 at 15% opacity). Badge border 3px dark leather-brown ring (#3E2723). Background fill deep warm brown (#2E1A0E) to black gradient. Style: scholarly, reflective, daily dedication.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/journal_keeper.png,P5,"P5, P8, P9"
ACH-034,Achievement Badge — Social Butterfly,"Circular badge on transparent background. Two overlapping speech bubbles — larger left (soft purple #CE93D8), smaller right (warm coral #EF9A9A) — rounded corners with small tail triangles down. Overlap blends to lighter lavender (#E1BEE7). Inside each bubble: three horizontal dots (ellipsis) in white suggesting active conversation. Three small heart shapes (#F48FB1, 3px each) float above bubbles in arc. Subtle warmth glow around both (#FCE4EC at 15% opacity). Badge border 3px warm purple ring (#8E24AA). Background fill deep plum (#4A148C) to black gradient. Style: warm, social, connection and charisma.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/social_butterfly.png,P5,"P5, P8, P9"
ACH-035,Achievement Badge — Wise Spender,"Circular badge on transparent background. Stylized owl face viewed from front — large round eyes with golden irises (#FFD700) and dark pupils, small sharp beak (#8D6E63), prominent feathered eyebrow tufts upward. Dark brown (#4E342E) outer feathers, lighter tan (#8D6E63) facial disc. Owl perches on horizontal golden balance scale beam (classic scales of justice). Two small hanging pans — left holds tiny gold coin, right holds tiny green gem, roughly balanced. Badge border 3px warm gold ring (#DAA520). Background fill deep forest brown (#1B0E00) to black gradient. Style: wisdom, discernment, thoughtful resource management.",128x128 PNG (transparent),Phase 5 — Reward Systems,P2,assets/icons/wise_spender.png,P5,"P5, P8, P9"
ACH-036,Achievement Badge — Generic Template,"Circular badge on transparent background. Plain hexagonal shield shape centered, flat medium grey (#757575) with thin darker grey (#424242) outline and single horizontal line across center suggesting blank banner/ribbon area for customization. Shield has subtle inner bevel (1px lighter edge top/left, 1px darker bottom/right). No symbols, no text, no embellishments — intentionally blank. Badge border 3px neutral grey ring (#616161). Background fill flat dark grey (#303030) to near-black gradient. Style: deliberately blank template — clean placeholder shape.",128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/ — use as starting template for remaining ~20 achievement badges. 43 total need icons.,P5,"P5, P8, P9"
MOD-037,Mood Icon — Anxiety,"Flat-style circular icon on transparent background. Tightly wound spiral in center coiling inward clockwise in jagged/uneven line weight — thicker in some segments, thinner in others suggesting tension. Spiral is dusty orange-red (#E64A19) with innermost coil darkest (#BF360C) and outermost lighter (#FF8A65). Three small zigzag stress marks radiate from top-right in dark red (#C62828). Background circle fill pale warm grey (#EFEBE9) with subtle vignette at edges. Style: expressive, slightly unsettled, clear emotional read at small size.",64x64 PNG (transparent),Phase 1 — Foundation (Seed Data),P3,Optional — used in Mood DB Icon field. Can use Notion emoji instead.,P1,"P1, P7, P8"
MOD-038,Mood Icon — Joy,"Flat-style circular icon on transparent background. Simplified sun shape with circular center and 8 short triangular rays. Center bright warm yellow (#FFD600), rays golden-orange (#FFB300). Small upward-curving arc (smile) in center circle in darker orange (#FF8F00). Two small dots above arc for eyes (#FF8F00). Three tiny sparkle stars (white, 2px each) scattered around rays. Background circle fill pale sunshine yellow (#FFFDE7). Style: warm, uplifting, unmistakably happy. Reads clearly at 64px.",64x64 PNG (transparent),Phase 1 — Foundation (Seed Data),P3,Optional — Mood DB,P1,"P1, P7, P8"
MOD-039,Mood Icon — Regret,"Flat-style circular icon on transparent background. Single water droplet shape falling downward in muted blue-grey (#78909C). Inside droplet, small downward-curving arc (frown) in darker grey (#455A64). Above droplet, faint circular ripple pattern (2 concentric thin rings #90A4AE at 40% opacity) suggesting the drop has already fallen once. Small diagonal line through upper-left (#90A4AE) like rain streak. Background circle fill cool pale grey (#ECEFF1). Style: melancholy, reflective, looking backward.",64x64 PNG (transparent),Phase 1 — Foundation (Seed Data),P3,Optional — Mood DB,P1,"P1, P7, P8"
MOD-040,Mood Icon — Sadness,"Flat-style circular icon on transparent background. Small rain cloud shape in upper portion — soft blue-grey (#90A4AE) with flat bottom edge. Three vertical rain lines descend from cloud as thin dashes (not solid) in medium blue (#42A5F5). Below rain, small puddle shape (flat ellipse #42A5F5 at 30% opacity). Background circle fill cool desaturated blue (#E3F2FD) with slight darkening toward bottom. Style: gentle sadness, not dramatic — quiet and understated.",64x64 PNG (transparent),Phase 1 — Foundation (Seed Data),P3,Optional — Mood DB,P1,"P1, P7, P8"
MOD-041,Mood Icon — Boredom,"Flat-style circular icon on transparent background. Simple analog clock face with circular outline in medium grey (#9E9E9E). Hour and minute hands both pointing to ~3:00 (both right side, drooping). Clock has only 4 hour markers (12/3/6/9) as small dots. Small wavy line (~) below clock in lighter grey (#BDBDBD) suggesting yawn or sigh. Background circle fill flat neutral beige (#F5F5F5) — deliberately bland. Style: flat, low-energy, visually monotone — the icon itself feels bored.",64x64 PNG (transparent),Phase 1 — Foundation (Seed Data),P3,Optional — Mood DB,P1,"P1, P7, P8"
MOD-042,Mood Icon — Surprise,"Flat-style circular icon on transparent background. Bold exclamation mark centered — main stroke bright electric yellow (#FFD600), thick and slightly tapered (wider top, narrower bottom). Dot below is perfect circle in bright orange (#FF6D00). Behind exclamation, starburst of 6 thin lines radiating outward in warm yellow (#FFC107 at 60% opacity). Two small circles on either side at top (like wide eyes) in dark grey (#424242) outline only, no fill. Background circle fill pale warm yellow (#FFF8E1). Style: dynamic, high-energy, instant recognition.",64x64 PNG (transparent),Phase 1 — Foundation (Seed Data),P3,Optional — Mood DB,P1,"P1, P7, P8"
